category,priority,citation_short,role_in_project,current_status,why_it_matters,source_link
graph_method,core,"Kipf & Welling (2017)",Base GCN formulation for message passing,already_used,Foundational graph-learning citation for both static and temporal GCNs,https://arxiv.org/abs/1609.02907
graph_method,core,"Schlichtkrull et al. (2018)",Relational GCN for typed edges,not_yet_used_explicitly,Best methodological justification for moving from weighted mixed edges to explicit relation-aware graph learning,https://arxiv.org/abs/1703.06103
pavement_gnn,core,"Pan, Du & Parlikad (2025) PaveGNet",Closest direct precedent for pavement degradation modelling with graph neural networks,already_used_in_spirit,Most directly aligned paper for temporal degradation framing and citation,https://www.repository.cam.ac.uk/handle/1810/393222
review,core,"Liu & Liu (2025) systematic review",Literature review for GNNs in infrastructure reliability and resilience,already_available,Good review anchor for positioning the project in the wider infrastructure-GNN literature,https://doaj.org/article/d4de7c3e57504feea52486f008b4bc5f
review,high,"Graph Neural Networks for building and civil infrastructure operation and maintenance enhancement (2024)",Review of GNNs for O&M,available_in_Papers_New,Very useful for arguing that your project sits at the intersection of infrastructure O&M and graph learning,https://www.sciencedirect.com/science/article/pii/S1474034624005160
resilience,high,"Predictive resilience assessment of road networks based on dynamic multi-granularity graph neural network (2024)",Road-network resilience via GNN,available_in_Papers_New,Useful for the static disruption side because it shows a recent road-network GNN resilience application,https://doi.org/10.1016/j.neucom.2024.128207
interdependency,high,"Interdependency in transportation system resilience: Review and discussion (2025)",Transport interdependency theory,not_yet_in_local_papers,Best recent review to support the concept of interdependency in transportation resilience,https://www.sciencedirect.com/science/article/pii/S1361920925000288
optimization,high,"A reinforcement learning approach to network-level maintenance planning of co-located road and water infrastructures with interdependencies (2026 online / 2025 accepted)",Next-stage optimisation with interdependencies,available_in_Papers_New,Very relevant bridge from your Part 1 graph/interdependency work to later optimisation,https://www.sciencedirect.com/science/article/pii/S0951832025010890
maintenance_context,medium,"Sasidharan, Burrow & Ghataora (2020)",Life-cycle maintenance under uncertainty,already_available,Useful context for maintenance decision-making and uncertainty but not graph-specific,
scalability,medium,"Gao, Wang & Ji (LGCL + subgraph training)",Scalable graph training,available_but_secondary,Potentially useful if you need a literature-backed answer on training GNNs on sparse subgraphs,
optional,low,"Spatiotemporal matching method for tracking pavement distress using high-frequency detection data",Distress tracking context,already_available,Helpful for distress data context but peripheral to the main graph/interdependency contribution,
optional,low,"Pavement distress detection and classification based on YOLO network",Computer vision distress detection,already_available,Peripheral to the main research question because your project is not about image-based distress detection,
