table_name,field_name,field_alias,field_description,unit,missing_pct,estimated_information_value,estimated_implementation_effort,justification
ANALYSIS_DIS_AC,BLK_CRACK_A,Block Cracking Area Total,Total area of block cracking.,sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,BLK_CRACK_A_H,High Severity Block Cracking Area,Area of high severity block cracking. (Mean crack width greater than 19 mm or under 19 mm with moderate to high severity random cracking.),sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,BLK_CRACK_A_L,Low Severity Block Cracking Area,Area of low severity block cracking. (Cracks of unknown width well sealed or with mean width of 6 mm or less.),sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,BLK_CRACK_A_M,Medium Severity Block Cracking Area,Area of moderate severity block cracking. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.),sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,BLOCKVERSE_CRACKING,Blockverse Crack Area,Transverse cracking area at a foot-length plus the block cracking area. Used as a measure to identify change in distress definition.,sq m,0.022906009009696877,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,EDGE_CRACK_L,Edge Crack Length,Total length of edge cracking.,m,0.030541345346262502,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,EDGE_CRACK_L_H,High Severity Edge Crack Length,Length of high severity edge cracking.,m,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,EDGE_CRACK_L_L,Low Severity Edge Crack Length,Length of low severity edge cracking.,m,0.007635336336565626,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,EDGE_CRACK_L_M,Medium Severity Edge Crack Length,Length of moderate severity edge cracking.,m,0.007635336336565626,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,GATOR_CRACK_A,Alligator Cracking Area Total,Total alligator (fatigue) cracking area.,sq m,0.053447354355959376,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,GATOR_CRACK_A_H,High Severity Alligator Cracking Area,"Area of alligator (fatigue) cracking of high severity. (Moderately or severely spalled interconnected cracks, may be sealed, pumping may be evident.)",sq m,0.03817668168282813,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,GATOR_CRACK_A_L,Low Severity Alligator Cracking Area,"Area of alligator (fatigue) cracking of low severity. (No or few connecting cracks, not spalled or sealed, no pumping evident.)",sq m,0.04581201801939375,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,GATOR_CRACK_A_M,Medium Severity Alligator Cracking Area,"Area of alligator (fatigue) cracking of moderate severity. (Interconnected cracks possibly slightly spalled, may be sealed, pumping may be evident.)",sq m,0.053447354355959376,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONGIGATOR_CRACKING,Longigator Crack Area,Longitudinal cracking area at a foot-width plus the alligator cracking area. Used as a measure to identify change in distress definition.,sq m,0.09925937237535315,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_NWP_L,Non-Wheel Path Longitudinal Crack Length Total,Total length of non-wheel path longitudinal cracking.,m,0.12216538138505001,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_NWP_L_H,High Severity Non-Wheel Path Longitudinal Crack Length,"Length of high severity, non-wheel path longitudinal cracking. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,0.06871802702909063,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_NWP_L_L,Low Severity Non-Wheel Path Longitudinal Crack Length,"Length of low severity, non-wheel path longitudinal cracking. (Cracks of unknown width well sealed or with mean width of 6 mm or less.)",m,0.12216538138505001,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_NWP_L_M,Medium Severity Non-Wheel Path Longitudinal Crack Length,"Length of moderate severity, non-wheel path longitudinal cracking. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,0.06871802702909063,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_NWP_SEAL_L,Non-Well-Sealed Wheel Path Longitudinal Crack Length Total,Total length of well sealed non-wheel path longitudinal cracking.,m,0.900969687714744,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_NWP_SEAL_L_H,High Severity Non-Wheel Path Well-Sealed Longitudinal Crack Length,"Length of high severity, well sealed non-wheel path longitudinal cracking. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,0.09925937237535315,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_NWP_SEAL_L_L,Low Severity Non-Wheel Path Well-Sealed Longitudinal Crack Length,"Length of low severity, well sealed non-wheel path longitudinal cracking. (Cracks of unknown width or with mean width of 6 mm or less.)",m,0.878063678705047,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_NWP_SEAL_L_M,Medium Severity Non-Wheel Path Well-Sealed Longitudinal Crack Length,"Length of moderate severity, well sealed non-wheel path longitudinal cracking. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,0.11453004504848438,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_WP_L,Wheel Path Longitudinal Crack Length Total,Total longitudinal cracking length in wheel path.,m,0.04581201801939375,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_WP_L_H,High Severity Wheel Path Longitudinal Crack Length,"Length of high severity, longitudinal cracking in wheel path. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,0.030541345346262502,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_WP_L_L,Low Severity Wheel Path Longitudinal Crack Length,"Length of low severity, longitudinal cracking in wheel path. (Cracks of unknown width well sealed or with mean width of 6 mm or less.)",m,0.03817668168282813,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_WP_L_M,Medium Severity Wheel Path Longitudinal Crack Length,"Length of moderate severity, longitudinal cracking in wheel path. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,0.030541345346262502,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_WP_SEAL_L,Well-Sealed Wheel Path Longitudinal Crack Length Total,Total well sealed longitudinal cracking length in wheel path.,m,1.0842177597923188,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_WP_SEAL_L_H,High Severity Well-Sealed Wheel Path Longitudinal Crack Length,"Length of high severity, well sealed longitudinal cracking in wheel path. (Crack mean width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,0.030541345346262502,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_WP_SEAL_L_L,Low Severity Well-Sealed Wheel Path Longitudinal Crack Length,"Length of low severity, well sealed longitudinal cracking in wheel path. (Cracks of unknown width or with mean width of 6 mm or less.)",m,1.061311750782622,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,LONG_CRACK_WP_SEAL_L_M,Medium Severity Well-Sealed Wheel Path Longitudinal Crack Length,"Length of moderate severity, well sealed longitudinal cracking in wheel path. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,0.09925937237535315,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,MEPDG_LONG_CRACK_LENGTH_AC,MEPDG AC Longitudinal Cracking Length,Total length of sealed and unsealed longitudinal cracks in the wheel path at all severity levels divided by test section length.,ft/mi,1.122394441475147,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,MEPDG_TRANS_CRACK_LENGTH_AC_FLAG_EX,,,,97.35053829121173,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,PATCH_A_H,High Severity Patches Area,Area of patching with high severity distress or patch deterioration.,sq m,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,PATCH_A_L,Low Severity Patches Area,Area of patching with low severity distress or patch deterioration.,sq m,0.022906009009696877,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,PATCH_A_M,Medium Severity Patches Area,Area of patching with moderate severity distress or patch deterioration.,sq m,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,PATCH_NO_H,High Severity Patches Number,Number of patches/patch deteriorations with high severity distress of any type.,,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,PATCH_NO_L,Low Severity Patches Number,Number of patches/patch deteriorations with low severity distress of any type.,,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,PATCH_NO_M,Medium Severity Patches Number,Number of patches/patch deteriorations with moderate severity distress of any type.,,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,POTHOLES_A_H,High Severity Pothole Area,Area of high severity potholes (more than 50 mm deep).,sq m,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,POTHOLES_A_L,Low Severity Pothole Area,Area of low severity potholes (less than 25 mm deep).,sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,POTHOLES_A_M,Medium Severity Pothole Area,Area of moderate severity potholes (from 25 to 50 mm deep).,sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
